pmid,doi,title,authors,journal,publication_year,source_url,dataset_code,species,tissue_or_cell,condition,enrichment_method,ms_instrument,search_software,localization_threshold,fdr_threshold,raw_protein_count,raw_site_count,retained_protein_count,retained_site_count
38155775,10.1016/j.isci.2023.108645,Proteomic analysis identifies PFKP lactylation in SW480 colon cancer cells,"Cheng Z, Huang H, Li M, Chen Y",iScience,2024,https://pubmed.ncbi.nlm.nih.gov/38155775/,38155775_homo_sapiens,Homo sapiens,FHC normal colonic epithelial cells and SW480 colorectal cancer cells,FHC versus SW480,Affinity enrichment of lactylated peptides,LC-MS/MS; instrument model Not reported,MaxQuant 2.x,Not reported,Peptide and protein FDR 1%,444,637,432,619
39025375,10.1016/j.bbadis.2024.167356,Lysine lactylation-based insight to understanding the characterization of cervical cancer,"He C, Zhang J, Bai X, Lu C, Zhang K",Biochimica et biophysica acta. Molecular basis of disease,2024,https://pubmed.ncbi.nlm.nih.gov/39025375/,39025375_homo_sapiens,Homo sapiens,HeLa cells; cervical-cancer multi-omics cohorts were used for downstream analyses,HeLa lactylome profiling and integrative cervical-cancer analyses,Kla affinity enrichment,LC-MS/MS; instrument model Not reported,Proteome Discoverer 2.x,Not reported,Not reported,1637,3633,1556,3285
39246443,10.1016/j.isci.2024.110606,Lactylome analysis reveals potential target modified proteins in the retina of form-deprivation myopia,"Feng J, Chen X, Li R, Xie Y, Zhang X et al",iScience,2024,https://pubmed.ncbi.nlm.nih.gov/39246443/,39246443_cavia_porcellus,Cavia porcellus,Guinea-pig retina,Form-deprivation myopia versus normal control,Affinity enrichment of lactylated peptides; antibody details Not reported,LC-MS/MS; instrument model Not reported,MaxQuant/Andromeda,Not reported,Not reported,848,1989,848,1989
39524337,10.1016/j.isci.2024.111157,Systematic analysis of lysine lactylation in nucleus pulposus cells,"Sheng L, Xu H, Wang Y, Ni J, Xiang T et al",iScience,2024,https://pubmed.ncbi.nlm.nih.gov/39524337/,39524337_rattus_norvegicus,Rattus norvegicus,Rat nucleus pulposus cells,Normoxia versus hypoxia,Kla affinity enrichment,LC-MS/MS; instrument model Not reported,MaxQuant 1.x,Localization probability >75%,Not reported,1052,3510,1254,3814
39569522,10.1021/jasms.4c00366,Subcellular Proteomic Mapping of Lysine Lactylation,"Bao Q, Wan N, He Z, Cao J, Yuan W et al",Journal of the American Society for Mass Spectrometry,2024,https://pubmed.ncbi.nlm.nih.gov/39569522/,39569522_homo_sapiens,Homo sapiens,"HCT116 cells separated into cytoplasmic, nuclear, mitochondrial, and membrane fractions",Subcellular fractionation; DDA and DIA lactylome mapping,Affinity enrichment after subcellular fractionation,Orbitrap Eclipse Tribrid,PEAKS Studio XPro; Spectronaut 19,DDA AScore ≥20; DIA PTM localization cutoff 0.75,Target-decoy FDR 1%,553,1217,495,1091
39610256,10.1002/prca.202400061,Global Profiling of Protein Lactylation in Human Hippocampi,"Shi CM, Wang QC, Li XL, Yang YH, Tang XY et al",Proteomics. Clinical applications,2025,https://pubmed.ncbi.nlm.nih.gov/39610256/,39610256_homo_sapiens,Homo sapiens,Normal human hippocampal tissue,Normal physiological condition,Affinity enrichment of lactylated peptides; antibody details Not reported,Orbitrap Exploris 480,MaxQuant 1.x,Class I sites; exact probability threshold Not reported,Peptide FDR 1%,853,2579,848,2556
39935788,10.3389/fcell.2024.1472338,Multi-omics study on the effect of moderate-intensity exercise on protein lactylation in mouse muscle tissue,"Chang J, Wu W, Qian P, Lu Z, He X et al",Frontiers in cell and developmental biology,2024,https://pubmed.ncbi.nlm.nih.gov/39935788/,39935788_mus_musculus,Mus musculus,Skeletal muscle from healthy adult mice,Six weeks of moderate-intensity running versus sedentary control,Lactylated-peptide enrichment method Not reported,timsTOF Pro,MaxQuant,Not reported,Protein/peptide FDR threshold Not reported,,,219,915
40112136,10.1021/acs.jproteome.4c00680,Global Profiling of Lactylation Proteomics and Specific Lactylated Site Validation in Rheumatoid Arthritis Patients,"Hu J, Jin Z, Gao Y, Liu Q, Yu Y et al",Journal of proteome research,2025,https://pubmed.ncbi.nlm.nih.gov/40112136/,40112136_homo_sapiens,Homo sapiens,Synovial tissue from rheumatoid arthritis and osteoarthritis patients,Rheumatoid arthritis versus osteoarthritis,Affinity enrichment of lactylated peptides,LC-MS/MS; instrument model Not reported,Not reported,Not reported,Not reported,,,18,25
40114965,10.3389/fcell.2025.1550220,Lysine lactylation analysis of proteins in the heart of the Kawasaki disease mouse model,"Zhuo W, Zhang M, Tan J, Gao Y, Wang Y et al",Frontiers in cell and developmental biology,2025,https://pubmed.ncbi.nlm.nih.gov/40114965/,40114965_mus_musculus,Mus musculus,Mouse cardiac tissue,CAWS-induced Kawasaki-disease model versus control,Lactylated-peptide enrichment method Not reported,timsTOF HT/Pro; model designation was Not reported,Spectronaut; version Not reported,Not reported,FDR threshold Not reported,,,353,1105
40440508,10.1021/acs.jafc.5c02106,Lactylome Profiling Reveals the Potential Role of Lysine Lactylation in Regulating Soybean Seed Quality,"Xu C, Li J, Dong C, Zhang Y, Li H et al",Journal of agricultural and food chemistry,2025,https://pubmed.ncbi.nlm.nih.gov/40440508/,40440508_glycine_max,Glycine max,Seeds from wild soybean accession ZYD and cultivated accession SN14,Wild versus cultivated soybean,Affinity enrichment of lactylated peptides; antibody details Not reported,timsTOF HT using DIA,Spectronaut 18,Not reported,Reverse-database FDR was used; exact threshold Not reported,327,783,327,783
40590393,10.1021/acschembio.5c00270,Quantitative Proteomics Reveals the Role of Lysine Lactylation in Lenalidomide-Resistance in Multiple Myeloma Cells,"Guo X, Ren X, Yan C, Huang H",ACS chemical biology,2025,https://pubmed.ncbi.nlm.nih.gov/40590393/,40590393_homo_sapiens,Homo sapiens,Lenalidomide-sensitive and lenalidomide-resistant multiple-myeloma cells,Lenalidomide-sensitive versus resistant cells,Affinity enrichment of lactylated peptides; antibody details Not reported,Q Exactive HF-X,MaxQuant 2.x,Not reported,Peptide and protein FDR 1%,,1241,673,1220
40634431,10.1038/s41598-025-09937-5,Multiomics profiling reveals the involvement of protein lactylation in nonhomologous end joining pathway conferring radioresistance in lung adenocarcinoma cell,"He J, Lai T, Zhou Z, Yang H, Lei Z et al",Scientific reports,2025,https://pubmed.ncbi.nlm.nih.gov/40634431/,40634431_homo_sapiens,Homo sapiens,A549 lung adenocarcinoma cells,Joint profiling of acylation modifications; subsequent radioresistance/NHEJ analyses,Antibody-conjugated agarose enrichment of lactylated peptides,LC-MS/MS; instrument model Not reported,Not reported,Not reported,Not reported,1220,3110,1215,3095
40781717,10.1186/s13048-025-01762-8,Global profiling of protein lactylome in porcine granulosa cells,"Fan S, Zhou R, Wen H, Ye H, Ma S et al",Journal of ovarian research,2025,https://pubmed.ncbi.nlm.nih.gov/40781717/,40781717_sus_scrofa,Sus scrofa,Porcine ovarian granulosa cells,Global lactylome profiling; reduced lactylation and ferroptosis were examined,Affinity enrichment of Kla peptides,Orbitrap platform; exact model Not reported,Not reported,Not reported,FDR <1%,6255,24038,6166,23514
40963935,10.3389/fneur.2025.1629474,Effect of electroacupuncture on hippocampal protein lactylation in a rat model of vascular dementia,"Chen Y, Sun W, Sun Z, Zhao H, Wu T et al",Frontiers in neurology,2025,https://pubmed.ncbi.nlm.nih.gov/40963935/,40963935_rattus_norvegicus,Rattus norvegicus,Rat hippocampal tissue,"Sham, four-vessel occlusion vascular-dementia model, and 21-day electroacupuncture treatment",Anti-lactyllysine antibody (PTM-1401RM) enrichment,timsTOF Pro,Spectronaut 17,Not reported,Precursor and protein FDR 1%,2786,8852,2184,6778
41089239,10.3389/fcvm.2025.1644886,Characterization of protein lactylation in healthy and ischemic mouse hearts,"Wu D, Tang Y, Li X, Xiong S, Zhang Z et al",Frontiers in cardiovascular medicine,2025,https://pubmed.ncbi.nlm.nih.gov/41089239/,41089239_mus_musculus,Mus musculus,Mouse heart tissue,"Healthy control versus myocardial infarction, 3 days after induction",Immunoaffinity enrichment of lactylated peptides,timsTOF Pro,Spectronaut 17,Not reported,Precursor and protein FDR 1%,477,1674,475,1671
41192556,10.1016/j.mcpro.2025.101439,Lactylated Proteomic Analysis Reveals Functional Implications of Lysine Lactylation In Asthenozoospermia,"Yan M, Tu H, Tang S, Gai Z, Shi Q et al",Molecular & cellular proteomics : MCP,2025,https://pubmed.ncbi.nlm.nih.gov/41192556/,41192556_homo_sapiens,Homo sapiens,Sperm from men with asthenozoospermia and normozoospermic controls,Asthenozoospermia versus normal sperm,Anti-L-lactyllysine antibody enrichment,Orbitrap Fusion Lumos,Spectronaut,Low-localization-probability sites were removed; exact threshold Not reported,"Modification-site, peptide, and protein FDR approximately 1%",220,,231,557
41566505,10.1186/s12957-026-04201-0,"Identification of lactylation-related biomarkers for diagnosis, prognosis, and treatment responsiveness in triple-negative breast cancer","Chao L, Xu Y, Yang Y, Ao X, Liang J",World journal of surgical oncology,2026,https://pubmed.ncbi.nlm.nih.gov/41566505/,41566505_homo_sapiens,Homo sapiens,Triple-negative breast-cancer tissues/cohorts and cell models,TNBC molecular analyses and PGK1 perturbation lactylomics,Anti-lactyllysine antibody enrichment,timsTOF HT,Not reported,Not reported,Protein and peptide FDR <1%,227,,227,279
41696360,10.3389/fcimb.2026.1706727,Porphyromonas gingivalis infection induces lysine lactylation reprogramming in human umbilical vein endothelial cells,"Wu Q, Li Z, Gong T, Zheng X, Zhou X et al",Frontiers in cellular and infection microbiology,2026,https://pubmed.ncbi.nlm.nih.gov/41696360/,41696360_homo_sapiens,Homo sapiens,Human umbilical vein endothelial cells (HUVECs),Porphyromonas gingivalis infection versus uninfected control,Lactylated-peptide enrichment method Not reported,Orbitrap platform; exact model Not reported,Not reported,Not reported,FDR <1%,1881,5788,1878,5777
